edp,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID
loc,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
dir,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
0,0.001997501916342921,0.001315952771035331,0.003036060385195657,0.002123214398963211,0.002536284820401128,0.0021574868905390385,0.002427451949360596,0.0024979813027153886,0.002669293021067489,0.0024758750461420865,0.0030219447768025155,0.002496413828770725,0.0029454742465793303,0.0022427513966698696,0.003432840131127146,0.002337356346236391,0.0029962647626591886,0.0020090347195871414,2.720904870884301e-07,7.160557017093308e-08,2.8861209303056324e-07,2.1155873367165494e-09,9.91960741895411e-07,2.7884006464482945e-07,7.703090593789274e-08,1.390716070787714e-07,4.700272480965143e-07,1.2929098115344492e-07,1.3672314525424746e-06,1.326218427536758e-07,1.1641683253218674e-06,7.277367917499653e-08,3.5802299549344655e-06,5.70077865108188e-08,3.202921985932656e-07,3.9753757115490856e-08
1,0.0015411591750460955,0.001726384394345526,0.0024820541290773443,0.0026860611005872365,0.00244552082146987,0.0023722353984938624,0.0026472431288114794,0.0023577844920479995,0.002681783623011029,0.0022879942097376728,0.0029171176958414334,0.0024959246848858686,0.00267119318080922,0.0022122330048594385,0.002910048330016951,0.0023599650227328762,0.002571310298436252,0.002136857894091455,1.2513638735878862e-05,1.0827210991328637e-06,1.489900189847833e-08,5.0992603047410205e-06,7.41205538132206e-07,1.9603348698922594e-07,1.1985748396599638e-06,3.768468827704063e-07,2.609303875873008e-05,7.258472045592047e-08,3.961107324376287e-05,1.6775636135206842e-07,1.9592123784862146e-07,4.5652671915996943e-08,3.3634764262221946e-05,6.227096342800891e-08,1.6993786569348816e-05,5.806444895746423e-08
2,0.0017293090739540743,0.0011468832877812934,0.0027998342582900458,0.001635106804166569,0.002879896439888956,0.0018247587015001727,0.0030599624948030625,0.0019788076267595657,0.0028631946957707434,0.0017021518552167607,0.0029947243807903093,0.0018236572083368391,0.002797665829521354,0.0017359658354939849,0.0028204448389744243,0.001724309396921787,0.002442841097415768,0.001780514802619913,6.43567531125721e-07,2.937155500577769e-06,3.943531199999151e-06,1.7739789088299118e-05,3.870992178088787e-06,2.8245578812771736e-08,5.837332547382068e-07,5.896145444936836e-05,4.864543057276607e-07,6.52905510483829e-05,6.737426096525943e-07,3.2620823049366895e-09,2.2347805860211562e-08,2.9577241330664025e-05,1.6998717443503716e-08,1.9560231669479128e-07,3.2221237606752135e-07,6.6464215259520935e-06
3,0.001134468233034015,0.0024140422402713895,0.001688860316862983,0.004126286452894332,0.0013347159636593758,0.0038573159049349057,0.001755323228448701,0.003528275155028091,0.0018532807990459049,0.002858611834464114,0.0018770517013357957,0.0031541105138525607,0.0015174371489138027,0.003411376801901033,0.0021431941437094573,0.004237449699751711,0.0019345447867231635,0.0033017614230440298,2.7320224117483092e-05,1.8521431138197532e-05,1.651171287340306e-08,0.00014371351921331797,6.321246904012806e-08,0.00016701915260510593,0.00012699598236649276,3.6798945660601254e-05,0.0001522965093781103,2.542721311499143e-06,0.00024975994040324085,1.1699020812818958e-06,3.459311543569438e-07,1.638746738810172e-05,0.0002489733902252189,0.00011913099862614259,0.00012787731407183872,3.7490783482675168e-06
4,0.0016814892940884417,0.0007957981832705492,0.0027617660811954338,0.001118684954649573,0.0026203418569320023,0.0011501416868893344,0.0028609608369201665,0.0011793020237555356,0.002768956027220093,0.0012862364652277264,0.002771908330803978,0.00148288779342927,0.0025955574755564467,0.001240634496015079,0.002776486116493353,0.0012922950732401123,0.002400660297680376,0.001341941544343503,6.449346604280141e-08,1.3570650825420417e-08,4.3888312484303826e-07,5.730013370568197e-09,6.501075948336173e-07,2.1548409821995755e-08,1.6983323140114543e-07,2.4857327662160943e-08,6.16962587848566e-07,3.3183030413842056e-10,2.8404529802760195e-09,1.9373057666453278e-08,1.2734966489920516e-07,3.268186698769724e-08,5.223323373233199e-08,1.6007777527316363e-08,2.8398121084445515e-08,2.796024125723275e-06
5,0.0013394475342082797,0.0017218766637780041,0.002285359069407425,0.002925810407487891,0.002362123048257798,0.002882622522644287,0.0025345598398322086,0.002969598172353071,0.0024709562262770356,0.0028659112785846055,0.0025892401870235473,0.0029685713563505586,0.0025302004406895797,0.002737415811042422,0.002576677345662792,0.0026965943745672796,0.002116882417165017,0.0022433908508626642,6.716813312896938e-08,5.941972742615699e-07,2.423519026379217e-07,3.241194795858659e-06,2.0885199157776118e-08,3.7516335921371203e-06,1.1658804704552055e-07,2.3587646124113977e-06,1.4993220716029202e-08,1.0681518469823848e-06,2.7103257717190686e-07,1.2720761048853152e-06,1.0143647347921369e-07,9.922630908700453e-07,1.6165604053868486e-07,9.913986296424545e-07,7.309577356315348e-07,9.049519351525856e-07
6,0.0011902472404033704,0.0008309131328766183,0.0020200493760833336,0.0012963128036463025,0.001990388808669493,0.001182587844939506,0.002192322964699408,0.0011001914163454257,0.002202123797798198,0.0012234904603997026,0.0023170163664072616,0.0015435343361704173,0.002073063451213799,0.0015189155125559723,0.0020348974599440697,0.0015206670907905217,0.0017422877440762057,0.0012564798392320753,4.964657147859429e-08,1.3544184057799632e-08,1.4311652231774362e-07,9.235499205256144e-09,5.139595103094117e-08,2.5354314233793694e-09,1.201584835585354e-07,6.126639037968604e-08,1.2401428753349676e-07,7.560040519731422e-09,1.1969195337542604e-07,3.594719431288128e-08,1.4216156130180424e-07,1.9205351167203207e-08,1.4930115378608156e-07,1.7470981804678407e-07,7.164980474833237e-08,2.405342160538459e-07
7,0.000825747413136732,0.0009794804899353133,0.0012963376980680793,0.001621520381243221,0.0011789935365998823,0.0017806694045672112,0.0012086943261030365,0.0018926285661924713,0.0012934038121413462,0.0017527713396699879,0.001481704684073334,0.002115131724919537,0.0015665309444759174,0.0022169025673104926,0.001674311247589877,0.0023598776511746388,0.0014559314958759058,0.002005475800658161,1.5778954321525717e-08,2.5467061457350327e-08,1.7655036033509206e-08,4.322706069608068e-08,1.741857827274579e-08,1.3696043221778525e-08,2.7085715425445297e-08,1.0952068338744711e-08,4.571579920187136e-08,5.415942825050389e-09,8.420143316639754e-08,8.184060702297678e-08,1.3010910307067086e-07,1.6397233426518163e-08,3.6588306240868613e-09,7.337772847431971e-08,1.0387285333742173e-07,5.898930051478187e-05
8,0.0014800823133957685,0.0012508128535979662,0.002545157942605008,0.0021044203670307292,0.0026206430233890157,0.0021568031859051993,0.0028290137403627,0.002404617394473513,0.0027953399159344715,0.002479742096736237,0.002962565943649379,0.002837076861826049,0.002698598342900965,0.0027687884393119535,0.00255690725626058,0.002848895496419418,0.002055667098725084,0.0023924057813416344,2.7412522062833693e-07,5.6258964301682394e-08,2.6017578853766563e-06,4.783384471982093e-07,3.8220662173337225e-06,4.89360169631577e-07,2.1867191305115608e-06,2.4875983293820478e-08,1.6235307575564677e-06,2.061463330779409e-07,4.486433171325017e-07,2.1043280302070642e-07,1.7368926643992057e-08,5.830342849784898e-08,3.102358718951152e-08,5.043575863981466e-08,1.6779295990702944e-07,6.0851171268108705e-09
9,0.001102484123152397,0.0010427665775722497,0.0017736561064209204,0.0016708148629761875,0.001675760575018781,0.0016181840598116953,0.0016194020995975538,0.001786616720291741,0.0016712281819695252,0.0019571953986424083,0.0019980145182270956,0.0023553712964633476,0.002016261250162881,0.0023328836263660567,0.002080764652353465,0.0024177835720312494,0.0017215071789275233,0.0020073518949849842,1.7401317277986016e-08,2.0586648789786316e-08,4.8512166937971355e-08,7.402489130570985e-08,4.869517828115477e-08,9.427821224776367e-08,8.134863678528154e-08,1.1356795385667575e-07,8.105607892366968e-08,1.56319035137731e-07,1.4265981117990375e-07,7.094207108185268e-08,4.221118977754189e-08,9.130443137190714e-08,1.0221386990731712e-07,6.557881850898801e-08,8.912308317673182e-08,2.156141451271945e-07
10,0.0012687633940456973,0.0016220198135765379,0.0020988274509035,0.002417556994489524,0.002021901724772146,0.0020661445847991265,0.002127799149571674,0.002184325404295992,0.0021375507565180815,0.0024256683519688405,0.002297347260445192,0.0028587384106150806,0.0021153631138575058,0.002847047323294296,0.002011606169520149,0.0033365796707978766,0.0017590179505700225,0.002994924120814881,4.3801268898571715e-08,6.756844920877054e-08,2.4404579296961376e-07,1.0979386565160405e-07,6.769117199617746e-08,2.038440143818063e-07,3.6534936669298513e-07,6.219820344468898e-08,3.0506854745183267e-07,4.096503843104321e-09,6.173076655589564e-07,2.3337253150488357e-08,5.163092797469101e-07,9.946216531704648e-08,9.06693558415964e-07,6.25433678746703e-07,6.947736805921681e-07,2.7846337677464695e-08
11,0.001014608756297632,0.001181300643725037,0.0016767757875388372,0.002049992067990916,0.0016719482387227585,0.0020633919536386046,0.0016907489502525886,0.002073272513453045,0.0015383561089503145,0.002075961603561626,0.0015145363724062626,0.002237869793656655,0.0015208225398678742,0.002009627009018942,0.001756336257328124,0.0019093984317932943,0.0015541113498030034,0.0016162540795587165,4.287158884129123e-08,1.836628307876094e-08,9.647326322909858e-08,2.46603905341645e-07,1.2164494816362707e-07,3.1758309157040787e-07,2.3123717264074489e-07,2.950682244554944e-08,1.8331380240095193e-07,1.6803494172457759e-07,1.486648440940754e-07,1.8735221493470195e-07,1.0248314241167097e-07,1.8196749172080874e-07,1.6480616455377972e-08,3.154004827899293e-07,1.0350139631412776e-07,3.5524340891825177e-07
12,0.000695862627049149,0.0008018491694652988,0.001177666280025061,0.001359899004860509,0.0011757400612172004,0.001353896858555199,0.0012126396166689717,0.0013758764567218863,0.0011555549647312062,0.0013021795822088739,0.0011864983626957433,0.0013494252044353998,0.0010711714763124143,0.0012076940777422172,0.0010142173334464182,0.0011398511453694722,0.0008353997816428973,0.0009615900181472423,8.86432035335548e-09,1.5158448894304176e-09,5.64784864599353e-09,2.296551014727035e-08,1.6586390787600142e-08,2.653013087068117e-08,8.649003884555464e-09,2.988872899149248e-08,5.550997338065305e-09,2.690159022437362e-08,3.9843241825733785e-09,3.934255832502108e-08,8.51582254990227e-09,1.2770813923515387e-08,4.553756951286899e-09,2.1088965150210376e-09,2.259906275716116e-08,1.320942919227571e-08
13,0.001476887084856242,0.0009724089522635103,0.002307505372330925,0.0014518983326804358,0.0021878461325226415,0.00132252044618082,0.0022447490549769846,0.0013848757604228883,0.0021892882829887407,0.0014455233734861623,0.0022714467189928057,0.0015053009711772968,0.0020082873662894563,0.0014464252080207784,0.002264682715640324,0.0018228517512966958,0.001937787665227003,0.0016452047432249785,2.085908156251707e-07,3.456059143244759e-08,7.378954018131481e-07,4.783911315482172e-08,5.940850476551633e-09,2.9352816729899705e-08,1.4201173807251723e-07,4.401142538780576e-08,1.6540412173046401e-07,1.8927470111895288e-08,2.6185088641037197e-07,6.292624600304316e-09,1.1843429460274933e-07,9.57259607718322e-09,7.291363968662915e-08,3.728476279745679e-08,8.617028286305954e-08,2.5252826998424372e-08
14,0.0011382992790613573,0.0015534414758632898,0.001897936316561311,0.002600771678895996,0.0019421271407527362,0.0025299261293882194,0.0020126576042623547,0.002479523225214063,0.0019415370058181354,0.0023773019074015455,0.002100350638289228,0.0024804102419509364,0.001990176021620623,0.002270217611522497,0.0020438531862154163,0.0022340582934556818,0.0017109931061072992,0.0018520035711075255,2.6796614022353022e-08,8.811092810582478e-08,1.0287580445302401e-07,5.173517234203888e-07,1.551933192280394e-08,2.670934135229615e-07,1.4866845646579242e-08,1.4778395272631597e-08,2.973876634063988e-09,5.595243147951917e-08,5.578456151598558e-08,4.652067274664415e-08,2.2992645874898004e-08,6.986497991177096e-08,6.732386277823066e-08,1.1199644899559906e-07,1.0501154913878732e-07,1.7345577126102864e-07
15,0.0008302243403673981,0.0013442193135761726,0.0014514233542586602,0.002221697716826153,0.0014546010726771141,0.002214787950248651,0.0016692169815129432,0.002383616105302269,0.0016674575221878461,0.0023518830178800897,0.001807732590696034,0.0025774307050002864,0.0017262927986260524,0.0025052586701721103,0.0017791256418909318,0.0027203693351931825,0.0015322996368790642,0.002365056060951111,6.810077307845443e-08,7.374397348116224e-08,1.9237499812892953e-07,5.178081420567544e-07,9.019611563683999e-08,6.235873365213554e-07,2.6188670893086444e-08,4.645962057075727e-07,4.572182204668386e-08,5.125112257887934e-07,1.155828179231729e-07,3.7932915036353043e-07,1.439060686454751e-07,1.2354437954716164e-07,1.0236139117145799e-07,4.915853569550197e-08,1.291165487169477e-07,1.9743074965980623e-08
