edp,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID
loc,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
dir,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
0,0.003739749035130566,0.0034404369978346078,0.009234408948929544,0.009388055789672415,0.010466480892700036,0.012395957695715139,0.009450054361191378,0.010544507596853298,0.0074941603967745895,0.007109574942063175,0.007399067653023003,0.005464398093904988,0.005582827334486588,0.004892095531820135,0.0066867165419776,0.006290966919661732,0.005694107182212612,0.005265044943268418,0.000288402498898857,0.0001873700380187892,0.0006801453767489282,0.0014144218335682872,0.0009056322331137787,0.002373425083745925,0.0012393798330928244,0.002906156461443957,0.0012717924251475993,0.0020939186764171273,0.0011965233492590372,0.000144005329457286,0.0005690460987402382,0.00010207219017822151,0.000494479614058776,0.0005098895099302559,0.00034533173772751085,0.00017008711968057068
1,0.002987143028364801,0.002259328289288658,0.0063635939342779144,0.003828422696765731,0.007022222665206512,0.0041980241341910245,0.00547890224223393,0.004236909993428295,0.004352665292993345,0.004199012600529384,0.006111101407697681,0.004431902083977106,0.005532173948066266,0.004180848071490719,0.0059730282761387985,0.004625750832596007,0.004336370538479174,0.0037297976931256758,5.2950169566194087e-05,8.973664706494084e-06,0.00017753702615535026,3.38491872230641e-05,0.00019637008427082374,1.1904040127074759e-05,8.83756975131579e-05,3.575116162083747e-05,6.28577650549344e-05,2.386708658095906e-05,0.0004634812189086137,7.6190685091207645e-06,0.00046298217137734365,5.165028442051675e-07,0.0003617248457763445,9.729243168134429e-05,9.328707613604506e-06,3.2470521380446975e-06
2,0.005054204802182609,0.004191601094801757,0.013524332947230237,0.009868403308292457,0.015699562056619595,0.009531885636450688,0.014061564013761135,0.005707048969348147,0.010575556046420487,0.004568112549521531,0.007260748807021151,0.005695022335459567,0.00508899307590089,0.00552975503599757,0.005643617004619746,0.005971779401722921,0.004099674678743142,0.004683164950832086,0.0004339151214355105,0.00023068365379080367,0.0017165605376842936,0.0003098812759840812,0.0018504161640843612,0.0001853894097028421,0.0009740673226074248,0.00012903544088011708,0.0002678760562089238,0.00014557395354480106,0.0003805828267527176,0.00038308290996878183,6.603771159901966e-05,0.00038705769970934754,0.00019978459270327272,0.0003085925547864714,1.2371536503018986e-05,5.539389131291815e-05
3,0.0025082046089274297,0.002435956495633508,0.0040026113828487775,0.005540788600584189,0.004114968282781572,0.007933995249391614,0.004331548861900683,0.008757514479446745,0.00452678746131522,0.007861086876358142,0.008950822585625394,0.006577318371476735,0.010566282661510709,0.007017140854484292,0.007509203012727397,0.0067322699013579925,0.0045253625287493835,0.004438327591502192,1.2017758041229009e-05,5.289242187105961e-05,0.00010288130189536836,0.0004225036338992026,0.0001995587381026147,0.0008417700539869657,4.949844179255182e-05,0.0014577537294140398,0.00016245519944832742,0.0012931479936102688,0.0008669281146076726,0.0008627034301569605,0.0014408228586254438,0.0007871594040579639,0.0006683356070649011,0.0005357788725463648,2.322475357627841e-05,2.5347515555164793e-05
4,0.0038661355297102008,0.0024580585884709702,0.008689113814056485,0.004678927476009891,0.00956699697004249,0.004960743662462994,0.007176484671301267,0.005651989629797016,0.006530699587451245,0.006303643146615709,0.010566653743455544,0.006416033471088365,0.00981852689227436,0.0051815319765921445,0.006851403052439569,0.00525190505724945,0.0044690048088333705,0.003917383824404772,0.00017766272046705495,1.1823033025926864e-05,1.6357447899769143e-05,0.00013082345223578595,0.0005063058669013382,5.2633655888978636e-05,0.0010451772478890075,0.0006448201364636319,0.001216367786342458,0.0008770982705138602,0.002011821134520881,0.0006288918422582911,0.0019588469720569724,0.00025491360570850555,0.0007228558706448263,5.95783507084809e-05,1.8846328198855268e-05,1.35699873216827e-08
5,0.0032101399623379614,0.0032902782530395344,0.007339288356198425,0.007156728321838699,0.008674039631349046,0.008127417802123341,0.01024249349119713,0.008135575519354643,0.009476290194047788,0.007111681730436676,0.00851397563154107,0.005455160334647791,0.007333962019531717,0.004373477974045819,0.005934978014840615,0.0047719093957894025,0.004143447693076801,0.003776390743773396,2.3224374259836535e-05,5.2454650402818106e-05,0.00019009855578668887,0.00022669995295316245,0.00019950856959236642,0.0003627463870551136,0.0007518276944656939,0.0004817341997712698,0.0008769035667997145,0.00045836379649292905,3.951880237763687e-05,7.719406223838368e-05,0.0005312667514390343,1.762180518645987e-05,0.0003146160900106967,9.478053678113767e-05,7.251992615984785e-06,3.909045779177225e-06
6,0.00458800355069996,0.003107990713334779,0.012273869079456637,0.009011973576083583,0.013538018611559252,0.010419323885047072,0.011353774938107483,0.007324093678833132,0.00809606071034727,0.004753621977414941,0.007630201476175331,0.005639927700644866,0.007246323631196252,0.005923001191851327,0.0058141692414096875,0.006710680778892759,0.004043898324486497,0.004725318962459868,0.0008280965308648663,0.00031204015279873143,0.0033309031950800264,0.001964198041256773,0.004159210882154874,0.0026259188146840907,0.004101092241820614,0.0019216929423054511,0.0029632104360968457,0.000538527280555591,0.0018342298003050108,0.0005148119299236356,0.0015077550044039084,0.000662237335217435,0.00039294707574104553,0.00016754538880034208,6.23930017135406e-06,8.269991655161755e-05
7,0.0025282613752273006,0.003197784417530864,0.005629238063189128,0.008325350990428153,0.006535509956521812,0.009258642851533976,0.006746406384129209,0.0069216063633474505,0.00661496145311455,0.005545109397014603,0.006024124537848041,0.005930730193317781,0.005417081542938424,0.005025061630976049,0.005340940161288806,0.005014290287537842,0.004153708142036359,0.0035620568480421166,8.936058235539045e-06,0.00014186676933060696,2.5141545166467795e-05,0.0006648526510107105,1.4346656692140724e-05,0.0009398022014404683,8.639658048800072e-05,0.0007877677552738861,0.0002447173324707294,0.00048286388198247483,0.00027568869564131534,0.00023014045611984162,0.0003361378465337057,0.0001896348993668123,9.5778214117088e-05,0.00012765145745577373,2.2082877153922695e-06,1.5614667529664e-06
8,0.004044952571386133,0.006347221740778391,0.01093810791784351,0.012165555828646861,0.013163123209237826,0.01143362887736052,0.012804510573924665,0.008640047026138013,0.009906285717519272,0.0070890954317290355,0.007322720616737945,0.010039858342345673,0.00549293243324452,0.00952470039126868,0.005320413850259324,0.0068098423971017065,0.0037579034221053805,0.004417431829688334,0.0005062955057382351,0.0015106482719896956,0.001841066555848879,0.0019582923944555133,0.002285768101149082,0.0010590338536577214,0.002201729944642892,5.8119508444926824e-05,0.001735925037853968,0.0009129111479211314,0.001026195550608009,0.001586466246527253,0.0004661899498491289,0.0017829199438982996,0.00014991721011704855,0.0007581471761032149,4.0262583216684655e-06,3.2776522241522135e-05
9,0.004069860890153674,0.004102951445351449,0.009419629177235128,0.011893891510441271,0.010578562344429101,0.013885117646457812,0.00900353471622096,0.012156520116706359,0.008989233801175542,0.008831571331745959,0.009550449649375584,0.006163925912421975,0.0071850711472911605,0.0057317352596725326,0.005810959056652336,0.005610132160257397,0.004083084810712403,0.004333047761853788,0.00034340551551666004,0.00023120689396400587,0.00043695769961606156,0.0005851005584362595,0.00030763293645944185,0.0007417460173962532,0.00016476984909810698,0.0008067599133058492,1.2741404822365942e-05,0.0006379013760018901,0.0003780673763862096,0.00019450564376209537,0.0004283936886970722,0.0002617466706179672,0.00022958322121580896,0.00019190353593294017,4.535700893287342e-06,1.1369933593978156e-05
10,0.002623214996201294,0.0028696969975743835,0.005827455679843776,0.00729344084199406,0.006188831635459855,0.00858474717426491,0.005047610201462678,0.007350715801424887,0.004224586164297746,0.005306036174296819,0.004803712234282616,0.005506671730824519,0.0039974076419365305,0.004482998772403215,0.003949796676299822,0.004821081251215469,0.0033634118377664844,0.0036993729894199134,9.040586088880877e-05,3.893695043694677e-05,0.0005865356084900971,4.137757013884637e-05,0.0007228599086485468,2.3382600001309684e-05,0.0003869599970618917,0.00023546483911170325,4.700548030055367e-05,0.00019638737911722228,0.00011120682446099191,8.080880345220985e-05,6.997177769011089e-06,6.731351724311226e-05,1.2622299467123525e-05,0.0001355337102564997,3.5475024628360513e-06,4.126327566876609e-06
11,0.0023870039616725857,0.0023090281442738835,0.005209580983065492,0.0047267382466947925,0.006240754600171796,0.005260244970604277,0.006304853730952362,0.00495653879562169,0.006141923944852274,0.004656667055974726,0.005968927164447886,0.005360263446221758,0.005163009606086981,0.004363699230995142,0.004961693554814803,0.004238941974104073,0.004209277250806254,0.003424322330717561,3.559776964974504e-06,2.9220142914344216e-05,6.331204899564686e-06,0.0001995597491441088,3.9566309940629065e-06,0.00035143170974538207,0.00010862946253426396,0.00042797953819943585,0.00024320911421468538,0.00031585521493058557,0.00021395993620122522,0.0002508821453144842,0.00013599022367155367,8.693363000184686e-05,2.0387905988488204e-05,1.4304053758013949e-05,6.664870706626878e-07,1.1289059000293053e-06
12,0.003159205457782265,0.0027040711147285575,0.00817783230515964,0.005492481959922573,0.00960338583804763,0.005329547952296321,0.009740387306751027,0.004499206664623841,0.008654049499215413,0.0042431384506402,0.007433578949031562,0.005162479166723781,0.005682765749712539,0.004861087328435567,0.00517156573500468,0.005665255702600814,0.004133171965976261,0.004046553188916537,9.530373351696964e-05,2.07747940629032e-05,0.0003126158918374622,7.390239518963611e-05,0.00020898518246374522,0.00016780799445166177,0.00019792996384728476,0.000244325902349048,0.00027691623602175183,0.00019649705548164306,0.00043580913428630083,1.2791153009175375e-05,0.0005055579290251524,0.0002501770220746935,2.7444727739983614e-05,0.0001918981768505239,2.5798279903106345e-06,9.865475153920033e-06
13,0.0026787600717941822,0.0027535792535851545,0.005176562924275154,0.005554915899832218,0.005332561899872216,0.006096979811558487,0.007017459910659823,0.006618561335561453,0.006656032478124587,0.00617640271366747,0.006631554628891076,0.006334119450785325,0.004263295908151554,0.006881387735635172,0.004811948883746893,0.00697114968051274,0.0042135007917175555,0.004611519197880467,1.7616491595956476e-05,1.0603915564572782e-05,6.44146498879199e-05,5.574825743301936e-05,0.0001243242454269768,0.00021935055151157072,0.0005380351194959361,0.0004298286676807549,0.00076789439441727,0.0004576167022364294,0.0005322450023486744,0.0005070891153294067,9.402454585871887e-05,0.0005659054211523918,1.1425501127838038e-05,0.00042647588966063775,6.172632881437318e-05,0.00012179040007065947
14,0.003412091475233221,0.009267494004632825,0.00994141196017798,0.023780312802946495,0.01229604669226986,0.0271559891787574,0.011324987838876687,0.02320206991822821,0.008591422417671394,0.017148534665078607,0.005874933312099289,0.01043294839387269,0.005695203339520065,0.006780922279734927,0.005253009990233095,0.005933379728768498,0.0038284340369934286,0.0042969671698489245,0.00010330607560352099,0.003000267358690748,0.0005138035980456626,0.0069816984857523235,0.0006810818789939176,0.008005792764452492,0.0007515439492535884,0.006681503023224676,0.0006446345161746552,0.004304597746941776,6.362344302691093e-05,0.0012123169207556152,0.0004348190810734376,0.0008317110585677304,0.00019091234612805374,0.0002905665371647065,5.1603103461609435e-06,4.9037249382438834e-06
15,0.003943911156094584,0.006571714408369383,0.008261487166656808,0.01753661323425344,0.008363439687880045,0.018525942903614413,0.00677663354959624,0.014759443367372628,0.00573346279876527,0.011452972640833106,0.0061022767376180355,0.008342853423815102,0.005211183452250641,0.005565133506357755,0.004927389977845418,0.0052020467313298345,0.003850544121074858,0.004126177949477603,0.00031969261411993687,0.0010946459109791016,0.00025771761522567604,0.0025087253119736985,0.00015887251354593598,0.002718113841051877,0.00032868981032382113,0.002046895532871541,0.000459171785216306,0.0014846707360922562,0.00041518875971792923,0.000999540971227193,0.0002810186065101534,0.00040719724018398466,0.00012142212582617546,0.0001092223035479631,4.1679972539810385e-06,4.3231579820062035e-06
16,0.0038303630959217404,0.003974764145419526,0.009763623216891667,0.010390890599691794,0.01166065254870296,0.012592771196337532,0.008605665505118423,0.01776788355044281,0.007203072513996374,0.016748008798652105,0.005931807556329687,0.012311891946509205,0.005911431185245064,0.008055339781738663,0.0059332365372414125,0.006105186053459122,0.004189608228284488,0.004593474598573633,0.00020058628903219991,0.00026042105205030476,0.0002635019463703486,0.0001105197917470373,0.00011066130624646549,8.746129410866121e-05,0.000896791880569533,0.001943763967261408,0.0013819653758733652,0.0018254863251155689,4.21601581152219e-05,0.000993113741747803,0.00048431049560891724,0.0008657994031184155,0.00012905867866004606,0.00024949134534868326,0.00013828155761325735,1.4586232407293035e-05
