edp,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID
loc,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
dir,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
0,0.028625053240224164,0.007696056544455835,0.0538030298515875,0.02153359129998954,0.05160199685752165,0.028551782893527323,0.03743534199118407,0.029540351618760105,0.02512222609035249,0.024908809381942173,0.014648018330783604,0.01859491039366725,0.013044565930657294,0.021146206402445602,0.009358358713318337,0.015217158163794063,0.005914386528503264,0.00911678723477252,0.010903628963751842,0.0012719251025440147,0.014815227398474842,0.0025039739998749776,0.012230729232184347,0.001598882692415066,0.008906644383642357,0.0009173143869835563,0.006274004383052395,0.0012823970260892497,0.0023376522337018903,0.0008333650807399603,0.001066588008832491,0.0005643197139110598,0.00024150667080663062,0.0007213694919103069,0.0003620512773315053,0.0011828348053978775
1,0.013517407930389773,0.003351986611040838,0.03207870695891496,0.009078604129007916,0.04000413882838077,0.0099280880106485,0.03634888639730885,0.005343028624180306,0.025558882416017756,0.004604685253423184,0.01187297416029391,0.009319688960465722,0.006330100262774412,0.012447018623393166,0.00667089023716267,0.013549134502314595,0.005001851124219956,0.008019486823716072,0.007184747225593822,0.00010033693009538943,0.014414548948190761,0.0004501312005326291,0.01864421764557428,0.0006970385294421829,0.017865643945266785,0.0009324449455892368,0.011986325695206794,0.0003942623576195331,0.002774554456974319,0.0005515314669515263,0.00033778159705075356,0.0013658927155721595,0.0002284840351870402,0.0018779665530841993,3.255320033074414e-05,0.0014169582192555211
2,0.003245695748795901,0.0032196752864686942,0.009307922993820317,0.01138627249388278,0.01565434349395516,0.015358620130303325,0.022450723949481166,0.017966007842027152,0.023412352414558215,0.015112134130249104,0.02229886067436172,0.013741985402026828,0.01715388289121906,0.012294237945712517,0.010962627662263863,0.007135181226671498,0.005518311888722999,0.005219533240615209,4.191839243238367e-05,4.8843490675382324e-05,0.0010205045382399528,0.0013215811362522513,0.0026630959303753973,0.002318426314481749,0.004501561449229855,0.002946831083384443,0.004268403282437685,0.0018910681830442708,0.002855972854238724,0.00022101004614461105,0.0019952256463414966,7.258548425667359e-05,0.0008888941485704015,0.00020928011427540083,0.00018757232441033245,2.566076730135137e-05
3,0.028622069303004573,0.003293287138867529,0.04774603288938239,0.007996475238243764,0.048118897557713466,0.008482276175084286,0.03838856085767348,0.008413550911978533,0.029842750752043512,0.010104836576014237,0.021353171145570046,0.012755873930584024,0.01386319930494138,0.008933777835232344,0.0069678727029763715,0.006603158702376921,0.004786902901635523,0.004800538646505947,0.0028413840040774846,2.8878340739044683e-05,0.006619483579233008,6.744617174428597e-05,0.005096710068272967,0.000383838927218068,0.003577105577975803,0.0012412864375028144,0.0035626470208340597,0.0016999100815705906,0.004152951243429711,0.0011568644957914128,0.0027250813864696296,0.00030019566639798156,0.0008745082671200857,0.00010832012903555296,9.761895677242499e-05,1.507037412349451e-05
4,0.011836905010731844,0.004098713028722565,0.033388351331649205,0.011178233713453797,0.03934444595136861,0.012747574633134683,0.03816986319465654,0.012184727001234132,0.02928628616020142,0.0104049619999375,0.015121642173246012,0.009753730920273096,0.009855449481053942,0.008367265762459773,0.007775567188720385,0.00648424375102482,0.004940557761131425,0.004260519067973565,0.004539572894850408,0.00021619928582650795,0.00637298994037957,0.0005939868000719355,0.006882551176679295,0.00046016941958436776,0.007014527287207437,0.00015133598665454734,0.005610224788417311,0.00015032375612473488,0.002048240929836149,0.0008537026749782844,0.0013927469380082369,0.0013695628259206248,0.0008105337136235413,0.0006430060911503353,5.6900736661567264e-05,1.9723870268237087e-05
5,0.011423554499640503,0.0031106377605310005,0.027687982737431956,0.007148693274353512,0.03268641883296217,0.007991483098694172,0.024741233116235568,0.006519647945040315,0.01914470202628902,0.005353771886781058,0.013555160577764966,0.00625187809749361,0.00940524772034833,0.004945259062218925,0.005724074339214012,0.004972572483942035,0.004165260677699958,0.0036489173823211984,0.0037623539058178855,5.867096493581581e-05,0.005579969337939594,0.00012095961053149176,0.00484735323618102,0.00021159761307522256,0.0025088904803479426,0.00027859169064084813,0.0011548157462228058,6.028008608808585e-05,0.0001509357558413498,0.0004141244473651339,0.00047803254570241493,0.00029334466909336704,8.11236252768352e-05,0.00016445182820694603,5.913553918514885e-06,5.182764754579874e-06
6,0.00536924321466002,0.00358074339941061,0.01332968028425019,0.009702265125127311,0.01504080138498838,0.012161714616122178,0.015566038381510236,0.01499789611229308,0.014708951465910697,0.017694153953747325,0.009443881808580246,0.017172831517629418,0.007750130973247026,0.0115453557945197,0.006521530611127861,0.007554587030255093,0.004517180935000027,0.004789844533776001,0.0008451499681227065,0.00028014515055005754,0.0023372413497756966,0.0007747866682009746,0.002207169615710207,0.0010837851128946505,0.0029144379041794793,0.002861614623798497,0.0026009672371844154,0.0029890450001682414,0.0014841697630356963,0.0028117156766717137,0.0008262547327313114,0.00208644087444927,0.00030079925322004723,0.0010811007875730226,9.945051117544476e-06,4.486975410849369e-05
7,0.011745801053995015,0.005989579234639298,0.026373184295266663,0.01996891674682162,0.02668670712116147,0.023829362819132803,0.018936807975942535,0.021430142252478006,0.013372569063138079,0.018130563177649127,0.00858053203601436,0.018791762247235673,0.00634129395230217,0.015289275207496785,0.0070435402346932215,0.0074156629776169596,0.004762645367764529,0.005316638524348354,0.003039470025663865,0.0009945924704182632,0.002286814159537438,0.005426903228495353,0.0009942148426782247,0.0067399185586220905,0.000673150993253574,0.005161226618227545,0.0004961044478748946,0.0031862598264408735,0.00040054680976640014,0.00277334904689108,0.0006513062615379911,0.0019964547834068385,0.0003981032679030688,0.0008042439390847253,9.874756950677027e-05,0.00020887896997877884
8,0.006371308415690625,0.004483543448915069,0.018989454783377973,0.012486369027813629,0.022483529008754,0.014417875939593663,0.017495096919346483,0.012150317610509843,0.01600023035309733,0.010058677261294698,0.014123375930654384,0.009593181880141367,0.0095016545467855,0.01019972041016513,0.006415041934007776,0.007956422664413253,0.004384980005980003,0.005357953023521848,0.0007579326299489062,0.00046009053343177333,0.003080377527937869,0.0019819729776279025,0.00393337230098084,0.002092893134838115,0.002350879686715739,0.0018557105307280331,0.0011902805284177156,0.00126703169348125,7.666940905251267e-05,0.0011996939537262036,0.0005039066913719952,0.0015036979311343,0.00014598306644417262,0.0009913218276298096,1.17691350766192e-05,0.0002412609313215714
10,0.003567154450921552,0.012908311219987225,0.007395788769532476,0.027473599219189928,0.008069202173781521,0.028028801079351354,0.006248326894083395,0.02211927533649793,0.0057889063782951,0.015749630750370693,0.007393905028544386,0.013018390830595571,0.00785809962803055,0.009523782390583534,0.00788659536811385,0.007083100418830748,0.005118193772184567,0.0043482114218852085,0.00021745024655321518,0.003913613291594103,0.00023276413842810646,0.005719413930034683,0.00010797553520489385,0.005534838393336837,6.813442578852139e-05,0.0037557793806802815,6.759615475959046e-05,0.0023914210740995107,0.00010111263237173789,0.0008967439725708277,6.796135536261258e-05,0.0006358027375841747,0.00028682539244374134,0.0003688233979367857,0.00023922174968618977,2.65937244793191e-05
11,0.008087610998083174,0.0054384751723439454,0.02053708206462782,0.01943984199356158,0.025075473208403126,0.02466981397227841,0.02364620874499743,0.02459284647226825,0.019080175370263817,0.020170793392341447,0.012889100916336082,0.014155628363745757,0.007766276684807694,0.009213223445175703,0.005241934834600676,0.006599393924426331,0.004217810903921943,0.004453724545111732,0.0007982074445153661,0.00046430911269043954,0.001984738634541995,0.00378018895570364,0.0022117521045039432,0.004859444290936173,0.0016130190742322816,0.00397097954460503,0.000959972462834628,0.0024969085827834967,0.0008486636247025178,0.0006561021952763495,0.000758971272649322,0.00025137328897346825,0.0001451937481904775,0.00022484630807422928,5.00321019158124e-06,2.501595256434794e-06
14,0.009258551179877379,0.010564722536790127,0.02075346830700119,0.02595787305678339,0.022711660042286804,0.029596921125914662,0.017886375565287643,0.026561406855465774,0.01420041995905149,0.02198776887974134,0.018648006492705215,0.01692501447189527,0.015212063597053831,0.0104731617041667,0.008765569504789506,0.005579125959555055,0.005121747220571269,0.004417962925498405,0.002822343263825648,0.001717267022456523,0.003822725569166529,0.002118486869992305,0.004023096129991136,0.0018462062592909316,0.0024254865247644412,0.001502185575179595,0.00046444671532387005,0.0010031808260276332,0.0026646136376650663,0.0006933148971154244,0.0025231845465810985,0.0003917442103766963,0.0013155505086769968,6.695696989060137e-05,0.0002029085777291112,5.883524873114034e-05
15,0.005009746881212156,0.005734733261237752,0.016335027073152538,0.015430789558368456,0.018857307885256133,0.020431544003656266,0.017632431575828618,0.020143880240890262,0.013997319304118117,0.014439759452643251,0.009080210266991897,0.01004257277869487,0.004885340335328216,0.008701316010476415,0.004401132553949623,0.005675215584744489,0.0040896145705003745,0.004231147993160392,0.00018204335206644865,0.0007292477971273576,0.0001329399995395676,0.0037833561795610786,0.0005888365601999532,0.005131168182243824,0.0012802996500236277,0.0041190642564638245,0.0012749660195509537,0.002311008770154627,0.000573833791402198,0.000803478510956959,0.00021516204437256142,0.0011931044609562352,4.0166580970362226e-05,0.0002024444982686311,2.9480388945490305e-06,3.0288290979203095e-06
16,0.0030887603487338815,0.003351577515900291,0.007759035729729993,0.009272596559028666,0.00952621704004584,0.01195524580734324,0.011576091549936184,0.012954458271284492,0.010544954155492104,0.013663546631506155,0.00787488417204437,0.012699831149730082,0.006900091616209545,0.008362660713645559,0.005943463895571714,0.006264960245937667,0.004246110145715802,0.004696234532192185,5.240035665907322e-05,0.0001280346712589182,0.00016095059211701182,0.00035331570419107057,4.5177138134727375e-05,0.00019428486786677484,0.00032516153036205237,0.0001515908870612599,0.0005658166521472346,0.0003439271000777726,0.0006545098291220865,0.000985274073554561,0.0006986525804370424,0.0009095836532158131,0.00024275538248530514,0.0003505964868267072,6.473477387910437e-06,6.541241538163178e-05
17,0.003286458868890908,0.006812978772454485,0.008940514233964253,0.018190277411910028,0.011545992573631411,0.018948176035731217,0.015760569081542223,0.01490327860932378,0.015056978259494036,0.011228611141948562,0.011047460852600213,0.007160536118042426,0.007171951000190635,0.0065465976984427484,0.00624376102961397,0.005229112996780208,0.0046594799307687704,0.003903496766428831,0.00013870601346881593,0.001036751192546541,0.00030098559662914337,0.0031390497148762325,0.00020334508414967455,0.003161747335024739,0.0009622966521812252,0.0020827882593560955,0.0007585666911109526,0.0011090039685299408,0.0001498013155887308,0.0002947572219610423,7.614453025657737e-05,0.0003310528696916283,0.0003042656421314177,9.764630183766635e-05,1.6116077094886613e-05,7.592176275173231e-06
18,0.013582361847955663,0.004841956326331788,0.031885520358642075,0.01485851238546333,0.032917612006427406,0.016580026070001887,0.022622168281531633,0.014283970434338636,0.015215283215376348,0.011989143627630887,0.008956297344710675,0.011289779068432515,0.006734052317267066,0.009076738193686916,0.005892366426330779,0.006020836750326685,0.00417698924186712,0.004094979167342287,0.005045977787512591,5.602631123744612e-05,0.005451546983717799,0.00047149718998879084,0.004932493804455495,0.0006258697604979956,0.0037105465166343975,0.0006739940615300578,0.002478941852653009,0.0007252690484985797,0.0008773532138631047,0.0009554268207034044,0.000929391167100207,0.001297863294062967,0.0002744513742884154,0.0003718251850412307,3.2039023686798334e-07,7.752626677124838e-06
19,0.004805660368941858,0.006576522571115959,0.013038703286597673,0.020869357550736493,0.01647239666123927,0.02519255261876328,0.01868289087085418,0.023587803420360397,0.015630804237936752,0.018676705960439043,0.009977752988729419,0.01292320240994115,0.00760346470515723,0.007922002771345332,0.0062837483911361725,0.005475308230518794,0.00434313337586636,0.004051161898578195,0.00025081831579629795,0.0012660633215513337,0.000701702027582819,0.005522411333656553,0.0015686035962392511,0.007142967086960649,0.0023546322048540605,0.006254220396311265,0.0018648060948126244,0.004235140040656378,0.0006909575670298062,0.002205857543832431,0.0004863497195015615,0.0015191546173165538,0.00023001968144331853,0.00020305780308433203,6.97324768517992e-07,1.2608557418592187e-06
20,0.004804227496292399,0.005743952048883335,0.01583600090070165,0.015263030990123765,0.01910927720741203,0.016578027379569336,0.017139248173047496,0.014177189095797372,0.013808285139859948,0.01251908577830242,0.009985854676085678,0.010537240476054506,0.005824819591036845,0.0075956560198163344,0.004985345506297111,0.006277094091080531,0.003986834444081518,0.004320200581782134,0.0003308095455729325,0.0004069218609670344,0.001438309593151218,0.001981061722256275,0.0019946428185919603,0.002072554212494486,0.002140335214938744,0.001373037350914716,0.0016831511591080517,0.0008502771908604778,0.0011170693212683336,0.0005742184802194514,0.00047125967766141366,9.377122082384743e-05,4.365010859590697e-05,0.00035626516781214046,1.6805642418921555e-07,1.341479172985125e-05
