edp,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID
loc,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
dir,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
0,0.002667582618146314,0.0020963875454648112,0.0046955980835799525,0.0032718497564812963,0.004746942735509175,0.003268103827932356,0.0054559740638476725,0.0032954858780020755,0.0064666954764105245,0.003193959527934259,0.007144893038193727,0.003300846725939486,0.005082262241208466,0.0031814248487271692,0.004502692956688054,0.0029844788047066416,0.00383116752234979,0.0029886168258395516,2.2500457840225596e-05,3.293859112525101e-06,0.00012348928364799627,2.5516858913327056e-05,4.363694383332612e-05,2.5598907407558416e-05,0.0002705220578170393,6.6297487299222955e-06,0.0004570212940943873,2.1442593497454586e-06,0.0005982821917046357,4.744857602118396e-06,0.0003488880087481234,1.6528223142104105e-06,6.636289634367147e-05,8.624053991175434e-08,6.607625283392014e-06,2.3463562843017993e-07
1,0.002455269183282735,0.002160261141992934,0.004565870417732657,0.0038344205868069622,0.004813859766119833,0.004287138485263736,0.004592671850817305,0.004205565344914015,0.0047040557856881755,0.0040030359028599,0.005395603129568347,0.0041953614417675495,0.004495000893513022,0.0039495403122227326,0.004239393421096158,0.004532450198079352,0.003449546871018209,0.003588559048116183,4.7412005856207825e-05,2.0028292888040073e-05,0.00024596088640868293,0.00013772889520163666,0.0001485734079115665,0.00018074461564544003,7.658207541642405e-05,7.412676251527507e-05,0.00025325678183901637,5.7859591443667035e-05,0.0003257137345739356,5.3158914173726344e-05,9.784360640745744e-05,3.3098431186740664e-05,6.2225797693605634e-06,0.00010625521211375137,6.719428804283686e-08,3.796088484937458e-06
2,0.002648021769376167,0.0025450529586994717,0.0042939731653704,0.004938177004750073,0.003814780272570636,0.005035291090783178,0.0039544196233682995,0.004651921059935419,0.00397999826226302,0.004191390350220445,0.0038292605122975856,0.0043291908708947375,0.004053655711416892,0.003661041740783997,0.004979882161217657,0.004200694204142827,0.004707801883016227,0.0038951700262098285,3.1579971804566613e-07,3.5358169458307625e-05,7.575543521679308e-06,0.00030704630143958385,0.00011882145989280103,0.0005152342198615669,5.395162541513619e-05,0.0003201813130639076,8.92601410473988e-06,4.1110790606287175e-05,1.5975156005756262e-05,9.506228373934276e-05,7.635649131896499e-06,1.4789272753893016e-05,5.7259368008601655e-05,5.795305825670787e-05,7.991521339025185e-05,2.435868619440148e-06
3,0.002896196052069322,0.0021045344599485327,0.006254310755345647,0.003514253602485954,0.006553762878089126,0.0037486004068579873,0.005145258035452447,0.003914851186917605,0.0055396925446064066,0.003953592406174149,0.0062423981878778935,0.004228924023046714,0.00442573812563043,0.0038227354430972428,0.004265239483979246,0.0037583221273386432,0.003439386573469032,0.0030463637168931523,9.805080374790601e-05,1.3518555487095487e-06,0.0006509914442294732,1.1611166865056275e-05,0.0008944879658101915,4.3902297094287005e-05,0.0007168576407070954,3.4323521389738956e-05,0.0007121458333765114,2.3727801109492787e-05,0.0004608714080916541,2.865266070108636e-05,4.5896875620627684e-05,1.0066833591013929e-05,1.0018327071032822e-05,5.87679902123416e-09,2.0058611717031165e-06,2.525377047450325e-07
4,0.002606427115519252,0.0026382313665447655,0.0054654615457590565,0.005741731141620277,0.005688298389156679,0.007650408418524339,0.004915658687313464,0.008419751494545435,0.004705632967481097,0.008112069927944431,0.005289553854700763,0.006182373317034762,0.004757471940220086,0.004953282589904231,0.004592066922549203,0.004733710342496302,0.0036551417560160516,0.0036157733874770037,1.7047420582912547e-05,7.119028219380258e-06,0.00017363319298230995,1.7384156586030016e-05,0.0003831444535686353,4.769868933708198e-05,0.00038803881163064773,0.0003632967407571389,0.00027361732850198216,0.0005142370316606238,6.656016856875871e-05,0.00028982835050458624,0.00014120714614889324,9.769769478753586e-05,3.878025787163556e-05,2.3710124553503967e-05,1.4028448493664545e-08,1.4101666677851082e-08
5,0.0022647764929335647,0.002218660492837442,0.004309260267721481,0.0037834485082134306,0.004072081606486165,0.003598571542191528,0.004298018099515726,0.0040476624999988345,0.004440146950556887,0.004033366399605842,0.005552425489644752,0.0047493801460566564,0.006860012113524135,0.004587864102540114,0.006436604420056728,0.004879031091237799,0.0042203085664218685,0.0039016535484838275,1.2573582945484171e-05,3.9273511544309924e-05,7.556533202189287e-05,0.00019110607567391507,5.332156368501078e-05,4.41840908211914e-05,1.1729800924124818e-06,2.1130214305746905e-05,4.7715500378034315e-05,2.113057226269978e-05,2.6741399572485078e-05,1.812830366663186e-05,4.172484838132117e-05,0.00020485910375405008,0.00029629245302287825,0.0001300950055504993,4.384290920020929e-06,3.299776546014768e-05
6,0.0025970113806755954,0.0023735251847138033,0.0051255589851225665,0.004588889377680774,0.005036789710523981,0.005469648088226973,0.004141769910762288,0.005542994756507445,0.004089435964336994,0.005766619278806415,0.004573908290813551,0.006038665314858871,0.0040022556969901806,0.005877420191500171,0.0038267310276316356,0.005631765232989856,0.003102945298247708,0.004227771231527539,1.8300841947510995e-05,3.514816369077271e-05,3.56742747508735e-05,0.0002988816865376919,0.0002137134750222728,0.0006043071499433825,2.9065988870284974e-05,0.0007677577128221526,1.229344740387328e-06,0.000802854380310468,6.240682634832555e-05,0.0006811528759091531,3.4247761370262114e-06,0.0006603541703952562,3.619521234925914e-06,0.0002422737773770592,2.2980647789624573e-06,5.5409667670397456e-06
7,0.002409131618368162,0.002211175185154127,0.004296265770734244,0.0034252566879557256,0.003677727272228566,0.003226239006199587,0.0038206071718537423,0.0039191208999923965,0.0037856589270465913,0.00407585897576239,0.004547442553198632,0.004565828865061457,0.0040217250335599685,0.003732577092012471,0.005636767330088765,0.004189920136457037,0.004288091919614408,0.0034670348505623596,4.941999231292329e-05,1.8807471684844214e-06,0.00028804620927837385,1.0778970817664676e-05,0.00017413308512139234,5.732529051607406e-06,2.6025112222964617e-05,2.059577125640022e-06,5.5455627299750756e-05,3.2324561587355175e-05,0.00019970957379312,0.0001610364135700309,5.271038953395715e-05,1.9885149342361808e-05,0.0002520634954077641,3.840922422266144e-05,3.0502316113087638e-05,2.1585370397974893e-05
8,0.0026156207636661476,0.0022184699175378754,0.00596169639023064,0.0038923313854081864,0.006288435265863226,0.003779994314601832,0.0048627826854839955,0.003902010953964049,0.004152614586671579,0.0038348844878669888,0.005155137988348307,0.004026758437367152,0.004356458901762101,0.003607402766216559,0.00440616758393834,0.003369805960443846,0.0035851047954764113,0.002749571469562445,1.928884244353127e-05,1.829618483030256e-05,3.1369966291568574e-05,0.00010336410868017907,2.021111161625943e-06,7.100583208929818e-05,6.575673592204716e-05,2.9942078488413457e-06,7.331154269381583e-05,1.578820740111935e-05,5.480726692399505e-05,1.121748988918366e-05,1.0463318969568214e-05,2.1322789302725844e-06,1.3890041992735087e-05,2.793580192164455e-07,7.337732170462257e-07,2.683150311599402e-07
9,0.0026671860467547327,0.002969383602890423,0.005690150511086926,0.007095786547006739,0.0058286443963217515,0.00821421506545872,0.004510666696994355,0.006850602985428807,0.004366272464265666,0.005436663653803373,0.0050446245297936015,0.005676593957081265,0.00444603408521995,0.0045355441471059054,0.004316836014814673,0.0043747251796127954,0.003593874287786154,0.0039237521631422445,2.766690702194647e-05,2.9254843330274342e-05,0.0001643869380800936,0.00023394835716635705,0.0002674661824976,0.0005374536711243073,0.0002879973155843009,0.0006184116912151707,0.00012803010893012762,0.00043039203257992176,0.00014640486685754602,1.303591586731353e-05,7.336360946187777e-05,9.557962444287332e-05,1.7942223897353962e-06,1.0059078897108515e-05,6.916013345423917e-06,8.352679550544684e-07
10,0.0026258454352094764,0.0032012349823124083,0.005429784025476724,0.008429808433379891,0.005581902227903375,0.010850924734917616,0.004667281966334227,0.011556113746572163,0.004014940097369924,0.009372105446223375,0.004251128212732533,0.0071085845085408226,0.0038646854102968994,0.005932098933309741,0.003784559411749372,0.004839034013211983,0.0031333000774920127,0.003888064692630324,6.116111311813886e-05,0.0002096909089859568,0.00036225660011073306,0.0008348938445570506,0.0002678567000832772,0.0012515351862102504,0.00010499746252252146,0.00164858235961101,4.259033665414302e-05,0.0014650753298723813,1.2894011291309085e-05,0.0008523242840381094,5.353581079920212e-06,0.000563271305528626,1.4596044116826022e-06,0.00014453339138365494,2.844860944758927e-07,8.101810669854281e-08
11,0.0027167131399050796,0.0018043159399648186,0.006194970440992343,0.0031408450552496384,0.007319972372278389,0.0032609846933914386,0.007123783568242332,0.003490984684174645,0.006077706603437163,0.003390742392467,0.006313253663704795,0.0035214082754978504,0.00574292922745485,0.0031508236860766817,0.00492416470376726,0.00291536771518036,0.003725525877683765,0.0023646055686844325,5.7715871591032236e-05,3.4970903441650715e-06,0.00036643081351895034,2.1026989970107116e-05,0.0004370728560005184,1.99140673286555e-05,0.0006568928358339121,3.1444201163974076e-06,0.0005282496819869256,1.2709731927915556e-06,0.00046536679649645315,1.06221547484661e-06,0.000510612331388868,2.801022273353871e-07,0.00013065624553374843,1.5762391302110198e-07,5.805801895536549e-07,1.7921635381992238e-07
12,0.002612921652265016,0.0021513972424808854,0.004848703617985914,0.0033382747392269687,0.0040429209371483504,0.002642470740731122,0.003982660904271123,0.002598234677715421,0.0037169308688820546,0.0030633099415463202,0.0043499355917826985,0.0038316489636883054,0.004649426837583763,0.004045468866860752,0.004695267492379154,0.0053715884383533676,0.00362731695239242,0.0035384940937143883,4.5333398374849515e-05,1.3972114044606855e-05,0.00016960726748032056,6.763395736621158e-05,0.00016111343895750083,1.5030075516440767e-05,4.8513970996739815e-05,2.429895672388621e-06,2.280371548571912e-05,6.266932159331336e-07,9.380939759398403e-05,2.0463457336432143e-05,0.000106389829558679,0.00012441424853051956,2.5256409244602524e-05,0.00015594087283880167,3.6438738191026794e-06,4.4370980747366415e-06
13,0.003435886667518528,0.0029187974596533734,0.008217075912521358,0.006547537867017626,0.009178564573713058,0.007382654779943696,0.008854971236010018,0.006426855779001908,0.007257638628913206,0.00531906583816423,0.00552147606916523,0.005785700454137117,0.004637532882762471,0.004783187286426463,0.004450441190924241,0.0045371059267252,0.0035838246511979833,0.003573869216893536,9.865094484592093e-05,7.584640220598322e-05,0.0003743057637429271,0.00030586861759234125,0.0006102901674935763,0.00038078417668198827,0.0008984466946982191,0.0003293125512226182,0.000814046511167213,0.000258794563969363,0.00022289534812124534,0.00024222350740145724,0.0001179181981870725,0.0002161501687504823,8.035820300445647e-05,7.223241660337117e-05,1.906887656807625e-06,9.521189930909545e-07
14,0.0025122942216714824,0.0019185831028100924,0.005398337462988418,0.0030947544786272215,0.005770822437490555,0.0030622984160591214,0.00590384332962377,0.0034573453106187322,0.005495071037160293,0.003515044413918452,0.005504829096105919,0.003602975995131773,0.004745909091243494,0.002971215936180697,0.00476070678483413,0.002933907992410684,0.0036720920216582707,0.0025197296746455092,3.141712943594476e-05,3.279069704527441e-05,0.0001896673967431291,6.760952610045408e-06,0.00037554871870628043,2.2288786093694323e-06,0.0006836789039966127,1.7559554074963467e-05,0.0005371859742015145,6.429149593820271e-05,2.380115358581743e-05,9.622132398025083e-06,9.652826548847301e-05,1.002181933155129e-06,9.008181578414185e-05,5.05406269577251e-05,3.47583710015889e-06,4.00633958766121e-05
15,0.002724153895866756,0.0025933064263025606,0.006556475937101558,0.0061367746434591915,0.006587371231413918,0.008269740414934756,0.005026641841097414,0.010099900477631688,0.0041683073097528054,0.009745020388680574,0.004401349836100168,0.0089692962176157,0.0044620051563586454,0.008051512630507105,0.005609386600440234,0.006271099919930291,0.004463239094793716,0.004657125995991836,7.451257708614937e-05,4.003963121190319e-05,0.000603140434675135,0.0003414226131695402,0.0008484677194476148,0.0008823319465021881,0.000427647135510565,0.0016547859508897326,3.6425108451139986e-05,0.0019127307866762574,4.1684603827361677e-05,0.001523795984897334,0.00010107147775211345,0.0013683011894681293,0.00020488837273468618,0.0004879477112973515,0.0001062022692089673,2.2064202498249354e-05
16,0.0025960681592520594,0.002398390582249345,0.0054988494716585,0.004119730919213489,0.00639005526241732,0.003571631772745939,0.005789756242209385,0.0036393694503261075,0.005412159862402587,0.0035100030906943516,0.006088254525056071,0.003877540701275488,0.00596351872338101,0.0030442956858364747,0.00545261432707212,0.004053882019853783,0.0042124537297655905,0.004063288260217732,4.359553437444081e-05,5.5582472377113075e-06,0.00013932108834658767,3.6605677395575294e-05,0.00015077005806525196,2.1722544901178168e-05,0.0005993697115302178,3.5711407229677454e-06,0.0004206668190091028,5.592118398843735e-07,6.399837865599948e-05,3.4734205024797985e-05,5.058320417509373e-05,7.375645327511172e-06,5.8121890729897346e-05,1.4564322883648995e-05,3.707558734799131e-06,2.947247171023804e-05
